NodeLabel, x_undeformed, y_undeformed, z_undeformed, x_deformed, y_deformed, z_deformed
16646, 0.05000, 0.64000, 0.03000, 0.05004, 0.63984, 0.02947
16933, 0.04000, 0.64000, 0.03000, 0.04004, 0.63984, 0.02946
17220, 0.03000, 0.64000, 0.03000, 0.03003, 0.63984, 0.02946
17507, 0.02000, 0.64000, 0.03000, 0.02002, 0.63984, 0.02946
17794, 0.01000, 0.64000, 0.03000, 0.01001, 0.63984, 0.02945
676, 0.00000, 0.64000, 0.03000, 0.00000, 0.63983, 0.02945
288, 0.32000, 0.64000, 0.04000, 0.32020, 0.63993, 0.03973
9183, 0.31000, 0.64000, 0.04000, 0.31020, 0.63993, 0.03972
9470, 0.30000, 0.64000, 0.04000, 0.30020, 0.63993, 0.03971
9757, 0.29000, 0.64000, 0.04000, 0.29019, 0.63993, 0.03970
10044, 0.28000, 0.64000, 0.04000, 0.28019, 0.63992, 0.03969
10331, 0.27000, 0.64000, 0.04000, 0.27019, 0.63992, 0.03968
10618, 0.26000, 0.64000, 0.04000, 0.26018, 0.63992, 0.03967
10905, 0.25000, 0.64000, 0.04000, 0.25018, 0.63992, 0.03966
11192, 0.24000, 0.64000, 0.04000, 0.24017, 0.63991, 0.03965
11479, 0.23000, 0.64000, 0.04000, 0.23017, 0.63991, 0.03964
11766, 0.22000, 0.64000, 0.04000, 0.22016, 0.63991, 0.03963
12053, 0.21000, 0.64000, 0.04000, 0.21016, 0.63990, 0.03963
12340, 0.20000, 0.64000, 0.04000, 0.20015, 0.63990, 0.03961
12627, 0.19000, 0.64000, 0.04000, 0.19015, 0.63990, 0.03960
12914, 0.18000, 0.64000, 0.04000, 0.18014, 0.63989, 0.03959
13201, 0.17000, 0.64000, 0.04000, 0.17013, 0.63989, 0.03958
13488, 0.16000, 0.64000, 0.04000, 0.16013, 0.63989, 0.03957
13775, 0.15000, 0.64000, 0.04000, 0.15012, 0.63988, 0.03956
14062, 0.14000, 0.64000, 0.04000, 0.14012, 0.63988, 0.03955
14349, 0.13000, 0.64000, 0.04000, 0.13011, 0.63988, 0.03953
14636, 0.12000, 0.64000, 0.04000, 0.12010, 0.63988, 0.03952
14923, 0.11000, 0.64000, 0.04000, 0.11009, 0.63987, 0.03951
15210, 0.10000, 0.64000, 0.04000, 0.10009, 0.63987, 0.03950
15497, 0.09000, 0.64000, 0.04000, 0.09008, 0.63987, 0.03949
15784, 0.08000, 0.64000, 0.04000, 0.08007, 0.63986, 0.03949
16071, 0.07000, 0.64000, 0.04000, 0.07006, 0.63986, 0.03948
16358, 0.06000, 0.64000, 0.04000, 0.06005, 0.63986, 0.03947
16645, 0.05000, 0.64000, 0.04000, 0.05004, 0.63986, 0.03946
16932, 0.04000, 0.64000, 0.04000, 0.04003, 0.63985, 0.03946
17219, 0.03000, 0.64000, 0.04000, 0.03003, 0.63985, 0.03946
17506, 0.02000, 0.64000, 0.04000, 0.02002, 0.63985, 0.03945
17793, 0.01000, 0.64000, 0.04000, 0.01001, 0.63985, 0.03945
677, 0.00000, 0.64000, 0.04000, 0.00000, 0.63985, 0.03945
289, 0.32000, 0.64000, 0.05000, 0.32020, 0.63993, 0.04973
9182, 0.31000, 0.64000, 0.05000, 0.31020, 0.63993, 0.04972
9469, 0.30000, 0.64000, 0.05000, 0.30019, 0.63993, 0.04971
9756, 0.29000, 0.64000, 0.05000, 0.29019, 0.63993, 0.04970
10043, 0.28000, 0.64000, 0.05000, 0.28019, 0.63993, 0.04969
10330, 0.27000, 0.64000, 0.05000, 0.27018, 0.63993, 0.04968
10617, 0.26000, 0.64000, 0.05000, 0.26018, 0.63993, 0.04967
10904, 0.25000, 0.64000, 0.05000, 0.25017, 0.63992, 0.04966
11191, 0.24000, 0.64000, 0.05000, 0.24017, 0.63992, 0.04965
11478, 0.23000, 0.64000, 0.05000, 0.23017, 0.63992, 0.04964
11765, 0.22000, 0.64000, 0.05000, 0.22016, 0.63991, 0.04963
12052, 0.21000, 0.64000, 0.05000, 0.21016, 0.63991, 0.04962
12339, 0.20000, 0.64000, 0.05000, 0.20015, 0.63991, 0.04961
12626, 0.19000, 0.64000, 0.05000, 0.19014, 0.63991, 0.04960
12913, 0.18000, 0.64000, 0.05000, 0.18014, 0.63990, 0.04959
13200, 0.17000, 0.64000, 0.05000, 0.17013, 0.63990, 0.04958
13487, 0.16000, 0.64000, 0.05000, 0.16013, 0.63990, 0.04957
13774, 0.15000, 0.64000, 0.05000, 0.15012, 0.63989, 0.04955
14061, 0.14000, 0.64000, 0.05000, 0.14011, 0.63989, 0.04954
14348, 0.13000, 0.64000, 0.05000, 0.13011, 0.63989, 0.04953
14635, 0.12000, 0.64000, 0.05000, 0.12010, 0.63989, 0.04952
14922, 0.11000, 0.64000, 0.05000, 0.11009, 0.63988, 0.04951
15209, 0.10000, 0.64000, 0.05000, 0.10009, 0.63988, 0.04950
15496, 0.09000, 0.64000, 0.05000, 0.09008, 0.63988, 0.04949
15783, 0.08000, 0.64000, 0.05000, 0.08007, 0.63988, 0.04948
16070, 0.07000, 0.64000, 0.05000, 0.07006, 0.63987, 0.04947
16357, 0.06000, 0.64000, 0.05000, 0.06005, 0.63987, 0.04947
16644, 0.05000, 0.64000, 0.05000, 0.05004, 0.63987, 0.04946
16931, 0.04000, 0.64000, 0.05000, 0.04003, 0.63987, 0.04945
17218, 0.03000, 0.64000, 0.05000, 0.03003, 0.63987, 0.04945
17505, 0.02000, 0.64000, 0.05000, 0.02002, 0.63987, 0.04945
17792, 0.01000, 0.64000, 0.05000, 0.01001, 0.63987, 0.04945
678, 0.00000, 0.64000, 0.05000, 0.00000, 0.63986, 0.04945
290, 0.32000, 0.64000, 0.06000, 0.32020, 0.63994, 0.05973
9181, 0.31000, 0.64000, 0.06000, 0.31020, 0.63994, 0.05972
9468, 0.30000, 0.64000, 0.06000, 0.30019, 0.63994, 0.05971
9755, 0.29000, 0.64000, 0.06000, 0.29019, 0.63994, 0.05970
10042, 0.28000, 0.64000, 0.06000, 0.28019, 0.63993, 0.05969
10329, 0.27000, 0.64000, 0.06000, 0.27018, 0.63993, 0.05968
10616, 0.26000, 0.64000, 0.06000, 0.26018, 0.63993, 0.05967
10903, 0.25000, 0.64000, 0.06000, 0.25017, 0.63993, 0.05966
11190, 0.24000, 0.64000, 0.06000, 0.24017, 0.63993, 0.05965
11477, 0.23000, 0.64000, 0.06000, 0.23017, 0.63992, 0.05964
11764, 0.22000, 0.64000, 0.06000, 0.22016, 0.63992, 0.05963
