Yield Strength,Strain Hardening,Residual Depth,Width,Pile-up Height,Normal Force,Tangential Force
1450.0,0.4,0.03609577777777784,0.2825111111111111,0.012488666666666703,194.38589,64.53609
1450.0,0.5,0.033406444444444405,0.2700128888888889,0.008411555555555505,219.39853,65.08473
1500.0,0.1,0.04084955555555547,0.35010044444444444,0.02347711111111117,141.82466,47.66636
1500.0,0.2,0.038953555555555686,0.32925022222222217,0.020100222222222297,149.1636,49.42987
1500.0,0.3,0.03776555555555561,0.3120022222222222,0.016535999999999884,170.48328,54.67746
1500.0,0.4,0.03592933333333326,0.28199466666666667,0.012362222222222274,198.28105,65.82851
1500.0,0.5,0.0332122222222222,0.26976044444444447,0.008340000000000014,220.76321,65.34949
1550.0,0.1,0.04064666666666672,0.34921111111111114,0.023289555555555674,147.24646,49.15807
1550.0,0.2,0.03869688888888889,0.3285146666666667,0.01999155555555565,151.11168,50.20859
1550.0,0.3,0.037660444444444496,0.31130044444444444,0.01644088888888895,172.56003,56.41401
1550.0,0.4,0.035832222222222265,0.2816711111111111,0.012373555555555527,200.68683,65.74791
1550.0,0.5,0.03309888888888901,0.26949955555555555,0.008268222222222121,222.62497,66.27321
1600.0,0.1,0.04074555555555548,0.34842133333333336,0.02311888888888869,150.75327,48.26492
1600.0,0.2,0.03869222222222224,0.3278844444444444,0.019897777777777792,152.86983,50.36802
1600.0,0.3,0.03754777777777785,0.31080488888888885,0.016351999999999922,173.43784,56.85964
1600.0,0.4,0.03573000000000004,0.2811644444444445,0.01226488888888888,199.44543,62.98519
1600.0,0.5,0.03291866666666665,0.2523853333333333,0.008170888888888839,223.15208,65.07607
1650.0,0.1,0.04040177777777787,0.347036,0.022792444444444504,151.46072,46.67144
1650.0,0.2,0.038609111111111094,0.3271333333333333,0.01977355555555549,152.627,50.13897
1650.0,0.3,0.03742777777777784,0.31031866666666663,0.016297333333333386,178.73276,58.77165
1650.0,0.4,0.035573111111111055,0.28089511111111115,0.012255555555555464,201.56638,63.91588
1650.0,0.5,0.03278755555555557,0.25241155555555556,0.008158888888888827,227.2706,65.9967
1700.0,0.1,0.04034088888888876,0.34594622222222216,0.022517777777777748,149.51672,50.58337
1700.0,0.2,0.03840111111111122,0.32642133333333334,0.01966111111111113,156.65907,51.1238
1700.0,0.3,0.037269555555555556,0.30983377777777776,0.01622777777777784,179.97968,59.15055
1700.0,0.4,0.035434888888888794,0.2806506666666667,0.01224555555555551,204.16284,66.01598
1700.0,0.5,0.03259311111111107,0.2520302222222222,0.00810444444444458,227.12837,64.97336
1750.0,0.1,0.0400948888888889,0.34455422222222226,0.02219133333333334,163.12927,50.80801
1750.0,0.2,0.038309555555555486,0.3258497777777778,0.019570222222222156,159.72377,52.11525
1750.0,0.3,0.03716177777777785,0.3093808888888889,0.016156222222222127,182.12447,60.42376
1750.0,0.4,0.035303111111111174,0.28038,0.012214222222222126,203.88559,66.09445
1750.0,0.5,0.03248355555555549,0.2517204444444444,0.008054000000000006,226.31613,63.30498
1800.0,0.1,0.039674888888888926,0.3440004444444445,0.021934444444444368,149.2117,51.69147
1800.0,0.2,0.03822088888888886,0.3252306666666667,0.019467333333333392,159.37823,52.64342
1800.0,0.3,0.037044888888888794,0.30891688888888885,0.01603644444444441,185.85262,61.63532
1800.0,0.4,0.035122666666666635,0.28000311111111115,0.01217888888888885,207.20877,67.04982
1800.0,0.5,0.03231177777777772,0.25135199999999996,0.008001333333333194,229.52266,64.85486
1850.0,0.1,0.03938511111111109,0.3428164444444445,0.021640000000000104,142.4061,47.68047
1850.0,0.2,0.03810377777777785,0.32457644444444445,0.01936066666666658,159.91888,53.22387
1850.0,0.3,0.03692933333333326,0.3084364444444445,0.015899555555555556,186.77567,60.81016
1850.0,0.4,0.03501266666666669,0.27970222222222224,0.012142222222222276,210.06636,68.04169
1850.0,0.5,0.03218622222222234,0.25131155555555557,0.007996666666666652,228.88248,63.12171
1900.0,0.1,0.039091777777777725,0.3419115555555556,0.021500444444444433,153.03812,53.04221
1900.0,0.2,0.03803044444444448,0.3240022222222222,0.019255111111111223,166.23175,55.59753
1900.0,0.3,0.03681022222222219,0.30794933333333335,0.015753999999999935,187.36798,62.29753
1900.0,0.4,0.03487222222222219,0.2792306666666666,0.012058444444444372,212.67006,68.22503
1900.0,0.5,0.03196822222222229,0.250828,0.007899333333333258,230.8595,61.97695
1950.0,0.1,0.03901711111111117,0.34118977777777776,0.0213566666666668,146.05753,48.11878
1950.0,0.2,0.037971555555555536,0.3234235555555556,0.01914888888888877,168.46005,55.01945
1950.0,0.3,0.03668888888888888,0.3073875555555555,0.015586222222222279,188.63402,61.55369
1950.0,0.4,0.03472177777777774,0.27884577777777775,0.011986666666666701,214.03981,67.90089
1950.0,0.5,0.03182155555555566,0.25075555555555556,0.007893777777777666,232.19421,64.32136
2000.0,0.1,0.03875688888888895,0.3403942222222222,0.021267333333333194,156.5379,54.31199
2000.0,0.2,0.03775555555555554,0.32271333333333335,0.019012222222222208,167.93555,56.24979
2000.0,0.3,0.036554666666666735,0.306856,0.015415777777777584,188.69284,62.81686
2000.0,0.4,0.034599555555555495,0.278428,0.011900222222222201,214.88458,68.97747
2000.0,0.5,0.03172688888888897,0.250344,0.007814666666666747,234.81126,65.65777
