syNorm,n,Ft/Fn,h_p/h_r,H_s/E
0.00675,0.1,0.3278564904778028,0.5777900891257916,0.020995607156590858
0.00675,0.2,0.3375959099197047,0.5177749990098313,0.025783744144934912
0.00675,0.3,0.3331992445927038,0.44130058240238246,0.03379991556557052
0.00675,0.4,0.3307884048702095,0.3484320557491291,0.04709422208945254
0.00675,0.5,0.2972880403487658,0.2569935242102477,0.059130408851141285
0.007,0.1,0.32583927863136747,0.5790884427563735,0.021362439972483507
0.007,0.2,0.3303552539538268,0.5175170628115878,0.026335319210993798
0.007,0.3,0.32770095491920276,0.4399803846019156,0.03415004783418988
0.007,0.4,0.3305041865888606,0.3419359573375066,0.04807523598100645
0.007,0.5,0.2959583425168508,0.2587170420987087,0.0599351640431021
0.00725,0.1,0.33707469027877957,0.5787967802235565,0.022154721259662075
0.00725,0.2,0.33443529017643225,0.5173922206337229,0.026930387384036043
0.00725,0.3,0.3263753335405328,0.4380743905444911,0.0345691215087455
0.00725,0.4,0.33199986892052713,0.3459869113654418,0.048710621029456995
0.00725,0.5,0.29665071137896865,0.25179439762121625,0.06018589432341864
0.0075,0.1,0.336093596134833,0.574721335197448,0.02314176198793733
0.0075,0.2,0.3313802429010831,0.5160048148507341,0.02751951010795222
0.0075,0.3,0.3207203662435401,0.4378593074229861,0.03502647343219789
0.0075,0.4,0.3319959723836443,0.3440704592966462,0.04986885725195062
0.0075,0.5,0.2960162157453681,0.2511123749623639,0.06067365517369627
0.00775,0.1,0.33384890882945506,0.5729757804384692,0.024148977739918233
0.00775,0.2,0.33226147707443926,0.5166191941930469,0.028003898986495197
0.00775,0.3,0.32692396958901776,0.4365558912386717,0.03561317729718979
0.00775,0.4,0.32761447275837685,0.34531923470495085,0.05058995053504781
0.00775,0.5,0.29768992220414453,0.24980361878545376,0.0613038518477656
0.008,0.1,0.32015836207068676,0.5673965804041302,0.024836320762495243
0.008,0.2,0.3294830641206313,0.5142578181087214,0.02843872696826441
0.008,0.3,0.32783872308372847,0.43549847601574004,0.03590857482596445
0.008,0.4,0.31580162052346855,0.3432658519140461,0.05045837798839716
0.008,0.5,0.2916220633031966,0.24821445448040147,0.07006525515735633
0.00825,0.1,0.30814220347031224,0.5641445920971576,0.025152488249515808
0.00825,0.2,0.3285065551966559,0.5121473918073439,0.028524087875528244
0.00825,0.3,0.3288241618380424,0.43543416951165276,0.0371208879590137
0.00825,0.4,0.3170959363362084,0.3445173945364456,0.05109280320346378
0.00825,0.5,0.2903881980335336,0.24884102369462469,0.0713435618072506
0.0085,0.1,0.3383124643183719,0.5581874469796302,0.02498633578461268
0.0085,0.2,0.32633795157854567,0.5119932872312712,0.029405493398290804
0.0085,0.3,0.3286512677431141,0.4354164554924203,0.03749695022194656
0.0085,0.4,0.32334963600623895,0.3455790589312476,0.05184113932940498
0.0085,0.5,0.2860644841505269,0.24865513503194714,0.07151483403765944
0.00875,0.1,0.3114585751533125,0.5534703786018722,0.02748189879858779
0.00875,0.2,0.3262836207785479,0.5108444078355842,0.0300860165286934
0.00875,0.3,0.3317717822322283,0.4347537493721113,0.03805496534600468
0.00875,0.4,0.32417420966337046,0.34598146842582,0.05187074254911128
0.00875,0.5,0.2797192581898604,0.2479408384413317,0.0714345846645033
0.009,0.1,0.3464304072669905,0.5528545903650199,0.02521824540981592
0.009,0.2,0.3303049607214235,0.5093375350302937,0.030135334489323637
0.009,0.3,0.331635464703161,0.4328922268479084,0.03895071001858767
0.009,0.4,0.32358582119859114,0.34675296737782424,0.0528582054687269
0.009,0.5,0.28256408321513876,0.24762900352812142,0.07265924379317518
0.00925,0.1,0.3348204185073532,0.5494462092274041,0.02423456874965762
0.00925,0.2,0.3328179261885776,0.508103600109639,0.030359578535498918
0.00925,0.3,0.3255785938286288,0.430540010350099,0.03926620435687406
0.00925,0.4,0.3239056934199269,0.34679512811236696,0.05370252081383079
0.00925,0.5,0.2757821830661744,0.24844999240530666,0.07247990734539565
0.0095,0.1,0.3465947569141597,0.5499991473057709,0.026181954265406475
0.0095,0.2,0.334457948015346,0.5063078118700247,0.03166999499934087
0.0095,0.3,0.33248760006912603,0.4279789430472198,0.03951544107162827
0.0095,0.4,0.3208022323405561,0.34578938983590707,0.05455193033737745
0.0095,0.5,0.2684617700376203,0.2470995502478127,0.07338811212583107
0.00975,0.1,0.32945086775053634,0.5473666824242381,0.02509353960186718
0.00975,0.2,0.32660236061903103,0.5042956130904976,0.032209473547124966
0.00975,0.3,0.326312772213623,0.4248213204118732,0.03992799046910795
0.00975,0.4,0.31723486392554734,0.3452204188213623,0.05505495432606548
0.00975,0.5,0.2770153484878025,0.24806385608636622,0.07385505981465791
0.01,0.1,0.34695744608813583,0.5487368553834112,0.027019987221416755
0.01,0.2,0.3349486752507137,0.5035609181871687,0.032250675697469554
0.01,0.3,0.33290537150217253,0.42171846123917295,0.040078935459057836
0.01,0.4,0.32099776540503744,0.34394147644799544,0.05543823970776254
0.01,0.5,0.2796193419344541,0.24631052524672567,0.07493324503286182
