syNorm,n,hrNorm,wNorm,hpNorm,fnNorm,ftNorm
0.00425,0.4,0.7673466666666662,6.106559999999999,0.2944177777777779,0.03504179808763044,0.04363633008477046
0.00425,0.5,0.7174488888888875,5.522942222222222,0.21015555555555343,0.05023031064655862,0.051665182522910046
0.0045,0.1,0.8331288888888921,7.440311111111111,0.5021555555555546,0.014866021700328878,0.02621463278560481
0.0045,0.2,0.8128400000000013,7.002657777777778,0.42624888888888934,0.018778553841408096,0.02988347825279458
0.0045,0.3,0.7920933333333369,6.410613333333333,0.3643200000000002,0.026370938474854604,0.03686484581915442
0.0045,0.4,0.762453333333335,6.0922133333333335,0.2901688888888887,0.035725378381377626,0.0448873682653739
0.0045,0.5,0.7127511111111118,5.511368888888889,0.2077333333333331,0.05155752945598564,0.053193729105563664
0.00475,0.1,0.8299022222222208,7.41296888888889,0.4979822222222219,0.015414725926258257,0.026304818967227833
0.00475,0.2,0.806297777777778,6.980506666666666,0.42167999999999983,0.019624725330078172,0.030323313232959417
0.00475,0.3,0.7903955555555586,6.3948,0.36122222222222167,0.027650501702239618,0.037683058901922084
0.00475,0.4,0.7578400000000007,6.077537777777777,0.28556444444444384,0.03651264797329402,0.04585268594100503
0.00475,0.5,0.7076177777777803,5.4962044444444444,0.2040133333333327,0.05267230308656865,0.05390081875910826
0.005,0.1,0.830022222222222,7.404533333333332,0.4963955555555555,0.01568141343007904,0.027464684312376295
0.005,0.2,0.8031200000000016,6.965271111111111,0.4181244444444454,0.019821403839417332,0.031049795683615003
0.005,0.3,0.786528888888891,6.3779466666666655,0.35807111111111123,0.028074207231565357,0.03863143816028098
0.005,0.4,0.7536577777777764,6.062968888888888,0.28085333333333296,0.03738893754412931,0.04659448874640266
0.005,0.5,0.7028888888888885,5.482435555555556,0.199973333333332,0.05362946193529091,0.053655194985583465
0.00525,0.1,0.8329688888888898,7.386826666666667,0.492595555555555,0.016016482824414476,0.02735362362841011
0.00525,0.2,0.800751111111111,6.944195555555555,0.4131066666666672,0.020308698258844557,0.03153382646673542
0.00525,0.3,0.782964444444445,6.362977777777778,0.35507555555555514,0.028994582528210442,0.03964329186647257
0.00525,0.4,0.7505777777777767,6.051297777777778,0.277128888888889,0.03840979993041755,0.04860839264986651
0.00525,0.5,0.6988711111111101,5.472088888888888,0.19673777777778012,0.05416342680060915,0.05242102329902857
0.0055,0.1,0.8333022222222208,7.368835555555557,0.48819555555555505,0.015931665984188464,0.026625604940862177
0.0055,0.2,0.7982444444444448,6.6796444444444445,0.40955111111111275,0.022412769882483693,0.03257833761421464
0.0055,0.3,0.7791199999999998,6.348426666666665,0.35202666666666715,0.030227321901435827,0.04105584762908325
0.0055,0.4,0.7470355555555552,6.039013333333334,0.27284888888889025,0.03910500120151439,0.04847075838099247
0.0055,0.5,0.6936844444444445,5.463395555555555,0.1939466666666645,0.055001959053898763,0.05282311465369425
0.00575,0.1,0.8259644444444447,7.120026666666666,0.4861288888888904,0.018360353568612747,0.029841251625106906
0.00575,0.2,0.7953377777777781,6.667848888888887,0.40941777777777855,0.023048221039471378,0.03333664542582658
0.00575,0.3,0.7765688888888866,6.333208888888889,0.3485511111111106,0.030183426587271328,0.04024024995410404
0.00575,0.4,0.7429911111111132,6.026746666666667,0.26866666666666816,0.04005889884236509,0.04983875570013064
0.00575,0.5,0.6895422222222236,5.4532622222222225,0.19026222222222167,0.05587524353317539,0.05317216738754433
0.006,0.1,0.8236577777777798,7.096933333333332,0.4845377777777782,0.0210888965050013,0.033507134089934464
0.006,0.2,0.7934933333333327,6.657102222222222,0.40975111111111184,0.023799174178687498,0.03454641035565237
0.006,0.3,0.7724177777777808,6.318213333333332,0.3455733333333333,0.03132947414591532,0.04205963662365227
0.006,0.4,0.7386177777777769,6.0145333333333335,0.26449333333333325,0.040803003828127196,0.05038234036229105
0.006,0.5,0.6885600000000025,5.441066666666666,0.18363555555555688,0.05675261483616135,0.05389573555677224
0.00625,0.1,0.8214355555555564,7.078533333333332,0.48225777777777923,0.02177410062728059,0.036813437581693594
